C,SETP.WORLD,FPP_DCF,AEMO,PUBLIC,2025/04/29,18:23:21,0000000461200046,FPP,0000000461200046
I,FPP,FORECAST_DEFAULT_CF,1,FPP_UNITID,CONSTRAINTID,EFFECTIVE_START_DATETIME,EFFECTIVE_END_DATETIME,VERSIONNO,BIDTYPE,REGIONID,DEFAULT_CONTRIBUTION_FACTOR,DCF_REASON_FLAG,DCF_ABS_NEGATIVE_PERF_TOTAL,SETTLEMENTS_UNITID
D,FPP,FORECAST_DEFAULT_CF,1,DPNTB1,F_I+GFT_TG_R5,"2025/04/29 18:20:00","2025/05/04 00:00:00",1,RAISEREG,NSW1,-0.00001822,0,356.21633,DPNTB1
D,FPP,FORECAST_DEFAULT_CF,1,DRYCGT1,F_I+GFT_TG_R5,"2025/04/29 18:20:00","2025/05/04 00:00:00",1,RAISEREG,SA1,-0.00014297,0,356.21633,DRYCGT1
D,FPP,FORECAST_DEFAULT_CF,1,DRYCGT2,F_I+GFT_TG_R5,"2025/04/29 18:20:00","2025/05/04 00:00:00",1,RAISEREG,SA1,-0.00015269,0,356.21633,DRYCGT2
D,FPP,FORECAST_DEFAULT_CF,1,DRYCGT3,F_I+GFT_TG_R5,"2025/04/29 18:20:00","2025/05/04 00:00:00",1,RAISEREG,SA1,-0.00033134,0,356.21633,DRYCGT3
D,FPP,FORECAST_DEFAULT_CF,1,DULAWF1,F_I+GFT_TG_R5,"2025/04/29 18:20:00","2025/05/04 00:00:00",1,RAISEREG,QLD1,-0.00360966,0,356.21633,DULAWF1
D,FPP,FORECAST_DEFAULT_CF,1,DUNDWF1,F_I+GFT_TG_R5,"2025/04/29 18:20:00","2025/05/04 00:00:00",1,RAISEREG,VIC1,-0.00222893,0,356.21633,DUNDWF1
D,FPP,FORECAST_DEFAULT_CF,1,DUNDWF2,F_I+GFT_TG_R5,"2025/04/29 18:20:00","2025/05/04 00:00:00",1,RAISEREG,VIC1,-0.00123220,0,356.21633,DUNDWF2
D,FPP,FORECAST_DEFAULT_CF,1,DUNDWF3,F_I+GFT_TG_R5,"2025/04/29 18:20:00","2025/05/04 00:00:00",1,RAISEREG,VIC1,-0.00289038,0,356.21633,DUNDWF3
D,FPP,FORECAST_DEFAULT_CF,1,EDENVSF1,F_I+GFT_TG_R5,"2025/04/29 18:20:00","2025/05/04 00:00:00",1,RAISEREG,QLD1,-0.00644372,0,356.21633,EDENVSF1
D,FPP,FORECAST_DEFAULT_CF,1,EILDON1,F_I+GFT_TG_R5,"2025/04/29 18:20:00","2025/05/04 00:00:00",1,RAISEREG,VIC1,-0.00074626,0,356.21633,EILDON1
D,FPP,FORECAST_DEFAULT_CF,1,EILDON2,F_I+GFT_TG_R5,"2025/04/29 18:20:00","2025/05/04 00:00:00",1,RAISEREG,VIC1,-0.00081858,0,356.21633,EILDON2
D,FPP,FORECAST_DEFAULT_CF,1,ELAINWF1,F_I+GFT_TG_R5,"2025/04/29 18:20:00","2025/05/04 00:00:00",1,RAISEREG,VIC1,-0.00140527,0,356.21633,ELAINWF1
D,FPP,FORECAST_DEFAULT_CF,1,EMERASF1,F_I+GFT_TG_R5,"2025/04/29 18:20:00","2025/05/04 00:00:00",1,RAISEREG,QLD1,-0.00232044,0,356.21633,EMERASF1
D,FPP,FORECAST_DEFAULT_CF,1,ER01,F_I+GFT_TG_R5,"2025/04/29 18:20:00","2025/05/04 00:00:00",1,RAISEREG,NSW1,-0.00122016,0,356.21633,ER01
